,precision@10,recall@10,ndcg@10,map@10
TagBased,0.12127659574468083,0.0773468154381379,0.15804558632781435,0.2647931442080378
TensorBased,0.13404255319148936,0.056575613696730025,0.1581099220131501,0.29535840932117524
LDABased,0.12765957446808507,0.06804713001797008,0.1591897913291061,0.2462246104115405
GraphBased,0.11489361702127658,0.07918310630431731,0.1256630964690628,0.19904593042890908
UserKNN,0.00851063829787234,0.004711695832808763,0.012585370610612882,0.032016210739615
ItemKNN,0.0297872340425532,0.03205230850236578,0.03568689427065251,0.07369554204660587
SVD,0.010638297872340425,0.003920223257375467,0.01369431413080057,0.04795677136102668
SlopeOne,0.02340425531914894,0.004730890131872128,0.024317463538110005,0.05882303275920297
